,Movie,Days,Shows
156,BHAAG JOHNNY,1,1
157,BHALE BHALE MAGADIVOI,1,1
158,BHALE MANCHI ROJU,14,14
159,BHASKAR THE RASCAL,14,16
160,BHOOLOHAM,29,84
161,BHOOMI,5,12
162,BIG GAME,7,9
163,BILLY LYNNS LONG HALFTIME WALK,7,14
164,BIRDMAN,42,59
165,BLACK AND WHITE,2,2
166,BLACK AND WHITE THE DAWN OF JUSTICE,5,5
167,BLACK MASS,9,9
168,BLIND DATE,116,117
169,BLUE MOUNTAINS,5,5
170,BOBBY,6,8
171,BOGAN,29,92
172,BOLLIWOOD DIARIES,4,4
173,BOMBAY VELVET,13,22
174,BONGU,14,14
175,BRAHMOTSAVAM,14,23
176,BRAN NUE DAE,2,2
177,BRIDGE OF SPIES,26,28
178,BRIDGET JONES S BABY,14,14
179,BRINDHAAVANAM,28,44
180,BROKEN HORSES,8,8
181,BRUCE LEE,6,6
182,BRUCE LEE THE FIGHTER,5,7
183,BUDHIA SINGH BORN TO RUN,7,7
184,BURNT,21,27
185,BUS 657,6,8
186,C/O SAIRA BANU,5,7
187,CALENDAR GIRLS,2,2
188,CAPTAIN AMERICA CIVIL WAR,34,104
189,CAROL,7,9
190,CARS 3,31,46
191,CENTRAL INTELLIGENCE,14,23
192,CHALK N DUSTER,7,10
193,CHAPPIE,20,32
194,CHARLES SHAFFIQ KARTHIGA,2,2
195,CHARLIE,35,49
196,CHAURANGA,5,5
197,CHENNAI 600028 II,34,89
198,CHENNAI UNGALAI ANBUDAN VARAVERKIRATHU,3,3
199,CHENNAIYIL ORU NALL 2,16,16
200,CHHOTA BHEEM HIMALAYAN ADVENTURE,6,14
201,CHINNADANA NEE KOSAM,1,2
202,CHIPS,7,7
203,CHUNKZZ,4,4
204,CINDERELLA,42,54
205,CLINT,7,7
206,COCO,3,6
207,COFFEE WITH D,8,8
208,COLLATERAL BEAUTY,7,16
209,COLOSSAL,5,5
210,COMRADE IN AMERICA,7,7
211,CREED,48,63
212,CRIMSON PEAK,21,26
213,DADDY,7,7
214,DADDYS HOME,5,12
215,DANGAL,77,192
216,DARLING,36,86
217,DARLING 2,13,29
218,DARVINTE PARINAMAM,5,7
219,DAYS OF TAFREE,7,7
220,DEADPOOL,41,72
221,DEAR DAD,6,8
222,DEAR ZINDAGI,48,87
223,DEEPAK SHIVDASANIS JULIE 2,4,4
224,DEEPWATER HORIZON,7,9
225,DEMONIC,21,21
226,DEMONTE COLONY,53,104
227,DESIERTO,7,7
228,DESPICABLE ME 3,65,96
229,DETECTIVE BYOMKESH BAKSHY,21,34
230,DEVI,35,84
231,DHANAK,7,7
232,DHARAM SANKAT MEIN,14,14
233,DHARANI,4,4
234,DHARMADURAI,28,51
235,DHAYAM,5,5
236,DHILLUKU DHUDDU,21,58
237,DHRUVA,14,29
238,DHURUVANGAL PATHINAARU,100,180
239,DICTATOR,7,11
240,DIL DHADAKNE DO,53,93
241,DILWALE,27,90
242,DIRTY DEEDS,1,1
243,DIRTY POLITICS,7,7
244,DISHOOM,21,35
245,DND SHOW  IT,1,1
246,DND SHOW ARAM,1,1
247,DND SHOW JUDWAA 2,1,1
248,DND SHOW LOVING VINCENT,1,1
249,DND SHOW MERSAL,1,1
250,DND SHOW NEWTON,1,1
251,DND SHOW QARIB QARIB SINGLLE,1,1
252,DND SHOW VICTORIA AND ABDUL,1,1
253,DO LAFZON KI KAHANI,7,8
254,DOCTOR STRANGE,68,140
255,DOHCHAY,7,14
256,DOLLY KI DOLI,13,13
257,DONT BREATHE,36,78
258,DORA,21,51
259,DRAGON BLADE,6,12
260,DUM LAGA KE HAISHA,55,78
261,DUNKIRK,41,88
262,DUVVADA JAGANNADHAM,17,41
263,EETTI,34,60
264,EK HASEENA THI EK DEEWANA THA,3,3
265,EK PAHELI LEELA,7,14
266,ELI,13,21
267,EMOJI MOVIE,7,14
268,EN AALODA SERUPPA KAANOM,4,4
269,EN VAZHI THANIE VAZHI,7,7
270,ENAKKU INNORU PER IRUKU,19,42
271,ENAKKU VAAITHA ADIMAIGAL,8,15
272,ENAKKUL ORUVAN,27,64
273,ENBATHETTU 88,6,6
274,ENGEYUM NAAN IRUPEN,2,2
275,ENGITTA MODHATHE,7,7
276,ENNAMA KADHAUDRANUNGA,2,2
277,ENNODU VILAIYADU,7,7
278,ENNU NINTE MOIDEEN,40,46
279,ENNUL AAYIRAM,7,7
280,ENNUM EPPOZHUM,14,14
281,ENTOURAGE,13,20
282,ETTU THIKKUM MATHAYAANAI,4,4
283,EVEREST,40,44
284,EVERYTHING EVERYTHING,7,7
285,EXPRESS RAJA,14,18
286,EYE IN THE SKY,14,14
287,EZRA,15,17
288,FAN,21,95
289,FANTASTIC BEASTS AND WHERE TO FIND THEM,55,112
290,FAST AND  FURIOUS 8,51,101
291,FAST AND FURIOUS 7,43,149
292,FIDAA,21,47
293,FINDING DORY,35,76
294,FIREMAN,7,7
295,FITOOR,14,21
296,FOCUS,20,40
297,FORCE 2,20,48
298,FOXCATCHER,6,8
299,FREAKY ALI,14,23
300,FUDDU,5,5
301,FUKRI,6,8
302,GABBAR IS BACK,28,61
303,GARUDA VEGA,11,11
304,GAUTAMIPUTRA SATAKARNI,22,42
305,GEMINI GANESHANUM SURULI RAJANUM,14,29
306,GEORGETTANS POORAM,2,2
307,GEOSTORM,14,41
308,GETHU,29,76
309,GHAYAL ONCE AGAIN,14,14
310,GHAZI,47,63
311,GHOST IN THE SHELL,7,7
312,GHOSTBUSTERS,21,28
313,GODHA,2,2
314,GODS OF EGYPT,14,23
315,GOING IN STYLE,7,7
316,GOLMAAL AGAIN,39,104
317,GOOSEBUMPS,11,24
318,GOPALA GOPALA,26,38
319,GOWTHAM NANDA,7,14
320,GREAT GRAND MASTI,7,21
321,GUARDIANS OF THE GALAXY VOL 2,34,64
322,GUARDIANS THE SUPERHEROES,7,7
323,GUDDU KI GUN,7,7
324,GUDDU RANGEELA,7,7
325,GUEST IIN LONDON,7,7
326,GUNTURODU,6,6
327,GURGAON,4,4
328,GURU,7,7
329,GURU SUKRAN,1,1
330,GURU UCHATHTHULA IRUKKARU,2,2
331,HACKSAW RIDGE,27,36
332,HALF GIRLFRIEND,21,30
333,HAMARI ADHURI KAHANI,14,21
334,HANUMAN DA DAMDAAR,14,14
335,HAPPY BHAG JAYEGI,42,70
336,HAPPY WEDDING,5,5
337,HARA HARA MAHADEVAKI,19,75
338,HARAAMKHOR,12,12
339,HARAM,6,6
340,HASEENA PARKAR,5,11
341,HATE STORY 3,14,30
342,HAWAIZAADA,6,6
343,HE NAMED ME MALALA,4,4
344,HEBBULI,6,6
345,HELLO NAAN PEI PESUREN,28,59
346,HEY BRO,10,10
347,HIDDEN FIGURES,28,35
348,HIND KA NAPAK KO JAWAB MSG LION HEART 2,2,2
349,HINDI MEDIUM,52,75
350,HOME,28,39
351,HONEYBEE 2 CELEBRATIONS,5,5
352,HOTEL TRANSYLVANIA 2,42,55
353,HOUSEFULL 3,42,76
354,HOW TO BE SINGLE,7,14
355,HOWL,14,14
356,HYPER,7,16
357,I,78,372
358,ICE AGE COLLISION COURSE,94,133
359,IDHU NAMMA AALU,50,95
360,IN THE HEART OF THE SEA,41,66
361,INAIYA THALAIMURAI,2,2
362,INAYATHALAM,7,8
363,INDEPENDENCE DAY RESURGENCE,28,40
364,INDIA PAKISTAN,34,85
365,INDRAJITH,3,12
366,INDRU NETRU NAALAI,31,54
367,INDU SARKAR,6,6
368,INFERNO,27,46
369,INIYA ULAVAGA,2,2
370,INJI IDUPAZHAGI,27,56
371,INNIMEY IPPADITHAN,20,48
372,INSIDE OUT,35,69
373,INSIDIOUS CHAPTER 3,29,54
374,INSURGENT,13,16
375,INTLO DEYYAM NAKEM BHAYAM,5,5
376,IPPADAI VELLUM,17,49
377,IRADA,6,6
378,IRAIVI,28,60
379,IRUDHI SUTTRU,49,109
380,IRUMUGAN,36,120
381,ISAI,14,50
382,ISHQ FOREVER,4,4
383,ISM,7,14
384,IT,40,70
385,IT FOLLOWS,14,21
386,ITTEFAQ,21,30
387,IVAN THANTHIRAN,24,53
388,IVAN YARENDRU THERIKIRATHA,3,3
389,IVANUKU THANILA GANDAM,11,16
390,JAB HARRY MET SEJAL,20,57
391,JACK REACHER NEVER GO BACK,7,30
392,JACKIE,7,7
393,JACKSON DURAI,21,41
394,JACOBINTE SWARGARAJYAM,35,42
395,JAGGA JASOOS,28,44
396,JAI GANGAAJAL,20,27
397,JAI LAVA KUSA,20,40
398,JAMES BOND,3,3
399,JANATHA GARAGE,7,19
400,JASON BOURNE,28,46
401,JAYA JANAKI NAYAKA,13,20
402,JAYAMMU NISCHAYAMMU RA,6,6
403,JAZBAA,7,16
404,JIL,6,12
405,JIL JUNG JUK,14,35
406,JITHAN 2,14,14
407,JO ACHYUTHANANDA,13,17
408,JOHN WICK CHAPTER 2,21,25
409,JOKER,41,53
410,JOLLY LLB 2,21,54
411,JOMONTE SUVISESHANGAL,28,35
412,JOY,14,15
413,JUDWAA 2,21,38
414,JUGNI,2,2
415,JULIEUM 4 PERUM,2,2
416,JUMBULINGAM,12,12
417,JUNOONIYAT,7,16
418,JUPITER ASCENDING,21,39
419,JURASSIC WORLD,50,102
420,JUSTICE LEAGUE,13,47
421,JYOTHILAKSHMI,2,2
422,KA KA KA PO,2,2
423,KAABIL,30,87
424,KAAGAZ KE FOOLS,4,4
425,KAAKI SATTAI,34,93
426,KAASHMORA,34,104
427,KAATRUVELIYIDAI,21,98
428,KAAVAL,7,7
429,KABALI,84,449
430,KADAISI BENCH KARTHI,7,7
431,KADALAI,6,6
432,KADAMBAN,21,47
433,KADAVUL IRUKAAN KUMAARU,24,81
434,KADAVUL PAATHI MIRUGAM PAATHI,7,7
435,KADHAL KAN KATTUTHE,7,7
436,KADHAL KASAKKUTHAYA,7,7
437,KADHALUM KADANTHU POGUM,28,80
438,KADHANAYAGAN,14,28
439,KADUGU,14,19
440,KAGITHA KAPPAL,4,4
441,KAHAANI 2,35,76
442,KAKKA MUTTAI,52,116
443,KALAM,14,14
444,KALATHUR GRAMAM,7,7
445,KALI,20,27
446,KALLAPPADAM,9,9
447,KALLATTAM,7,14
448,KALYANA VAIBHOGAME,14,18
449,KAMARA KATTU,7,7
450,KAMMATIPAADAM,7,7
451,KANAL,7,7
452,KANAVU VARIYAM,13,13
453,KANCHANA 2,42,152
454,KANCHE,8,11
455,KANDAEN KADHAL KONDAEN,2,2
456,KANITHAN,48,69
457,KANLA KAASA KATAPPA,6,8
458,KANNA PINNA,7,7
459,KAPOOR AND SONS,35,73
460,KAPPAL,22,56
461,KARAIYORUM,7,7
462,KARUPPAN,19,84
463,KASABA,7,15
464,KATAMARAYUDU,7,7
465,KATHA SOLLA POROM,7,7
466,KATHAKALI,29,73
467,KATHALO RAJAKUMARI,4,4
468,KATHAM KATHAM,14,22
469,KATHIRAVANIN KODAI MAZHAI,2,2
470,KATHTHI SANDAI,20,59
471,KATHUKKUTTY,23,23
472,KATTAPPANAYILE RITHWIK ROSHAN,10,20
473,KATTAPPAVA KANOM,7,14
474,KATTI BATTI,9,10
475,KAVALAI VENDAM,22,54
476,KAVAN,42,98
477,KAYAL,13,30
478,KESHAVA,2,2
479,KHAIDI NO 150,22,44
480,KHAMOSHIYAN SILENCES HAVE SECRETS,6,6
481,KI AND KA,35,81
482,KIDA POOSARI MAGUDI,6,6
483,KIDAARI,28,42
484,KILLADI,6,6
485,KING ARTHUR LEGEND OF THE SWORD,21,28
486,KINGSMAN THE GOLDEN CIRCLE,15,30
487,KINGSMAN THE SECRET SERVICE,34,70
488,KIRIK PARTY,6,6
489,KIRUMI,9,9
490,KIS KISKO PYAAR KAROON,16,16
491,KITTU VUNNADU JAGRTHA,7,7
492,KL 10 PATHU,2,2
493,KO 2,27,42
494,KODI,28,86
495,KODITTA IDANGALAI NIRAPPUGA,26,48
496,KOHINOOR,1,1
497,KOMBAN,37,146
498,KONG SKULL ISLAND,28,64
499,KOOTATHIL ORUTHAN,14,28
500,KRISHNA GAADI VEERA PREMA GAADHA,14,16
501,KRISHNAMMA KALIPINDI EIDDARINI,4,4
502,KRISHNASHTAMI,7,9
503,KSHANAM,22,26
504,KUCH KUCH LOCHA HAI,7,7
505,KUMARI 21F,14,18
506,KUNG FU PANDA 3,35,73
507,KUNG FU YOGA,14,22
508,KURANGU BOMMAI,21,33
509,KUTRAMAE THANDANAI,14,33
510,KUTTRAM 23,35,84
511,KUTTRAM KADITHAL,25,27
512,KYA KOOL HAIN HUM 3,14,22
513,LA LA LAND,112,142
514,LACHHIMDEVIKI OH LEKKUNDHI,6,6
515,LALI,2,2
516,LALILAA O LAILAA,7,7
517,LEELA,7,7
518,LEGEND,4,6
519,LEGENDARY AMAZONS,2,2
520,LENS,35,35
521,LIE,7,7
522,LIFE,21,28
523,LIFE OF JOSOOTTY,1,1
524,LIGHTS OUT,42,80
525,LINGAA,13,33
526,LION,43,54
527,LIPSTICK UNDER MY BURKHA,46,89
528,LIVE BY NIGHT,20,20
529,LODUKKU PANDI,2,2
530,LOFAR,7,8
531,LOGAN,21,54
532,LOGAN LUCKY,20,31
533,LONDON HAS FALLEN,28,39
534,LORD LIVINGSTONE 7000 KANDI,5,5
535,LOVE 24 X 7,4,4
536,LOVE EXCHANGE,4,4
537,LOVE GAMES,6,6
538,LOVE ICON,3,3
539,LOVE ROSIE,14,16
540,LOVESHHUDA,7,7
541,LOVING VINCENT,13,13
542,LUCKNOW CENTRAL,6,12
543,MAALAI NERATHU MAYAKKAM,21,25
544,MAANAGARAM,56,108
545,MAAPLA SINGAM,14,21
546,MAARI,13,49
547,MAATR,7,7
548,MACHINE,7,7
549,MAD MAX,3,3
550,MAD MAX FURY ROAD,49,84
551,MADAARI SSHHH DESH SO RAHA HAI,21,21
552,MAGALIR MATTUM,33,109
553,MAHABALIPURAM,14,28
554,MAHANUBHAVUDU,18,40
555,MAHESHINTE PRATHIKAARAM,7,7
556,MAIEM,5,5
557,MAIN AUR CHARLES,10,16
558,MAJNU,14,23
559,MAMA MANCHU ALLUDU KANCHU,8,8
560,MANADHIL ORU MAATRAM,2,2
561,MANALL KAYIRU 2,14,16
562,MANITHAN,41,119
563,MARAGATHANANAYAM,38,65
564,MARAPACHI,2,2
565,MARGARITA WITH A STRAW,35,41
566,MARIYAM MUKKU,7,7
567,MARUTHU,20,37
568,MASAAN,5,5
569,MASALA PADAM,12,21
570,MASSU ENGIRA MASILAMANI,21,93
571,MASTIZAADE,21,25
572,MAVEERAN KITTU,20,40
573,MAYA,40,60
574,MAZE RUNNER THE SCORCH TRIALS,10,11
575,ME BEFORE YOU,21,23
576,MEAGHAMANN,14,48
577,MECHANIC RESURRECTION,15,24
578,MEDA MEEDA ABBAI,6,6
579,MEEN KUZHANBUM MANN PANNAYUM,13,36
580,MEENDUM ORU KADHAL KADHAI,56,66
581,MEERA JAKIRATHAI,2,2
582,MEESAIYAH MURUKKU,34,79
583,MEOW,7,7
584,MERI PYAARI BINDU,14,21
585,MERSAL,40,367
586,METRO,28,42
587,MEYADHA MAAN,30,84
588,MINIONS,23,33
589,MIRROR GAME,7,7
590,MIRUTHAN,34,62
591,MIRZYA,7,19
592,MISS PANNEDATHEENGA APPURAM VARUTHAPADUVEENGA,2,2
593,MISS PEREGRINES HOME FOR PECULIAR CHILDREN,12,12
594,MISS TANAKPUR HAAZIR HO,7,7
595,MISTER,7,11
596,MO,13,18
597,MOANA,39,67
598,MOH MAYA MONEY,6,6
599,MOHENJO DARO,20,46
600,MOM,35,67
601,MONEY MONSTER,13,26
602,MOONDRAAM ULLAGA POR,4,4
603,MOONE MOONU VARTHAI,6,6
604,MORTDECAI,6,6
605,MOTHERS DAY,7,7
606,MOTTA SIVA KETTA SIVA,29,67
607,MOTU PATLU KING OF KINGS,7,9
608,MR CHURCH,6,6
609,MS DHONI THE UNTOLD STORY,28,90
610,MSG 2 THE MESSENGER,3,3
611,MSG THE MESSENGER,5,5
612,MUBARAKAN,27,48
613,MUDINJA IVANA PUDI,7,7
614,MUNNA MICHAEL,7,16
615,MUNTHIRIVALLIKAL THALLIRKKUMBOL,14,32
616,MUPPARIMANAM,7,13
617,MURDER ON THE ORIENT EXPRESS,6,12
618,MURUGAVEL,5,5
619,MUTHINA KATHIRIKA,19,26
620,MUTHURAAMALINGAM,5,10
621,MY BRILLIANT CAREER,1,1
622,MY LITTLE PONY,7,9
623,MYTHRI,2,2
624,Mr X,7,16
625,NAALU PERUKKU NALLATHUNA ETHUVUME THAPPILA,4,4
626,NAALU POLISUM NALLAIRUNTHA OORUM,7,12
627,NAAM SHABANA,28,30
628,NAAN YAAR,7,7
629,NAANNAKU PREMATHO,23,29
630,NAANUM ROWDYDHAAN,58,155
631,NAAYAGI,7,7
632,NADHIKAL NANAIVADHILLAI,4,4
633,NAGARA VARITHI NADUVIL NJAAN,7,7
634,NAMADHU,7,7
635,NAMBIYAAR,13,22
636,NANAIYATHA MAZHAIYE,2,2
637,NANI GENTLEMAN,28,34
638,NANNBENDA,36,113
639,NARATHAN,6,6
640,NARUDA DONORUDA,6,6
641,NATPADHIGAARAM 79,7,7
642,NAVARASA THILAGAM,7,7
643,NAYYAPPUDAI,6,6
644,NBK LION,7,15
645,NEE ENBATHU,2,2
646,NEERJA,49,92
647,NEETHAN RAJA,2,2
648,NENE RAJU NENE MANTRI,13,17
649,NENJIL THUNIVIRUNTHAL,7,13
650,NENU LOCAL,21,32
651,NENU SHAILAJA,13,23
652,NERUPPUDA,13,27
653,NERVE,6,6
654,NEWTON,14,27
655,NH 10,33,54
656,NIBUNAN,27,43
657,NIGHT AT THE MUSEUM SECRET OF THE TOMB,14,32
658,NIL BATTEY SANNATTA,21,21
659,NINAITHATHAI MUDIPPAVAN,2,2
660,NINE LIVES,7,16
661,NINNU KORI,21,32
662,NIRMALA CONVENT,6,8
663,NISABDHAM,7,7
664,NJANDUKALUDE NATTIL ORIDAVELA,20,27
665,NOOR,7,16
666,NOW YOU SEE ME 2,36,46
667,O KADHAL KANMANI,55,155
668,OFFICE CHRISTMAS PARTY,7,13
669,OK JAANU,27,53
670,OKA AMMAYI THAPPA,6,6
671,OM NAMO VENKATESAYA,7,15
672,OM SHANTHI OM,7,7
673,ONBATHILRINDHU PATHU VARAI,2,2
674,ONCE UPON A TIME IN BIHAR,5,5
675,ONE,8,8
676,ONE HEART THE AR RAHMAN CONCERT FILM,13,17
677,ONE NIGHT STAND,7,7
678,OOZHAM,12,16
679,OPPAM,28,40
680,ORE MUGHAM,2,2
681,ORU CINEMAKKARAN,1,1
682,ORU KIDAYIN KARUNAI MANU,21,32
683,ORU MEXICAN APARATHA,14,16
684,ORU MUTHASSI GADHA,7,7
685,ORU NAAL IRAVIL,21,28
686,ORU NAAL KOOTHU,26,40
687,ORU SECOND CLASS YATHRA,4,4
688,ORU THOZHAN ORU THOZHI,2,2
689,ORU VADAKKAN SELFIE,33,33
690,OUR BRAND IS CRISIS,5,10
691,OYEE,3,3
692,OZHIVUDIVASATHE KALI,12,12
693,PA PANDI,48,98
694,PAAMBHU SATTAI,7,7
695,PAAVADA,7,10
696,PAGADI AATTAM,7,7
697,PAISA,6,6
698,PAISA VASOOL,7,16
699,PALAKKATTU MADHAVAN IVAN TAMILAN,14,17
700,PALLIKKOODAM POGAAMALAE,2,2
701,PAN,21,28
702,PANDIGAI,7,14
703,PAPANASAM,28,140
704,PAPERBACK HERO,2,2
705,PARANORMAL ACTIVITY THE GHOST DIMENSION,7,7
706,PARANTHU SELLA VAA,14,21
707,PARAVA,7,7
708,PARCHED,1,1
709,PASANGA 2,42,90
710,PASSENGERS,26,41
711,PATAS,7,7
712,PATEL KI PUNJABI SHAADI,6,8
713,PATEL SIR,6,6
714,PATHEMARI,9,9
715,PATRA,2,2
716,PATRIOTS DAY,6,6
717,PATTATHARI,7,7
718,PAZHAYAVANNARAPETAI,7,7
719,PEECHANKAI,14,14
720,PEIGAL JAAKKIRATHAI,13,26
721,PELE BIRTH OF A LEGEND,20,20
722,PELLI CHUPULU,39,48
723,PENCIL,19,27
724,PETE S DRAGON,35,46
725,PHILLAURI,14,23
726,PHOBIA,14,17
727,PICHAIKKARAN,42,57
728,PICHUVA KATHTHI,5,5
729,PICKET 43,7,7
730,PIKU,54,92
731,PINK,42,78
732,PINNEYUM,7,7
733,PIRATES OF THE CARIBBEAN SALAZARS REVENGE,38,68
734,PISSASU,14,42
735,PITCH PERFECT 2,7,7
736,PITTAGODA,2,2
737,PK,57,110
738,PODHUVAGA EMMANASU THANGAM,13,44
739,POINT BREAK,21,24
740,POKIRI SIMON,4,4
741,POKKIRI RAJA,14,21
742,POLTERGEIST,14,23
743,PONGE EZHU MANOHARA,17,17
744,POORNA,12,12
745,POSTER BOYS,7,14
746,POWER RANGERS,7,14
747,PRAGAMIYAM,2,2
748,PREM RATAN DHAN PAYO,28,90
749,PREMAM,193,247
750,PRETHAM,13,13
751,PRIDE AND PREJUDICE AND ZOMBIES,6,6
752,PUGAZH,14,29
753,PULAN VISARANAI 2,7,7
754,PULI,29,121
755,PULIMURUGAN,21,37
756,PULLIKARAN STARA,6,6
757,PUNYALAN PRIVATE LIMITED,7,9
758,PURAMPOKKU ENGIRA PODHUVUDAMAI,21,44
759,PURIYAATHA AANANDHAM PUDHITHAGA AARAMBAM,6,6
760,PURIYAATHA PUTHIR,13,36
761,PUTHANPANAM,5,5
762,PUTHIYA NIYAMAM,20,24
763,PUYALA KILAMBI VAROM,2,2
764,PYAAR KA PUNCHNAMA 2,21,45
765,QAIDI BAND,3,3
766,QARIB QARIB SINGLLE,17,39
767,QISSA,8,8
768,QUEEN OF KATWE,14,14
769,RAABTA,14,23
770,RAAJU GARI GADHI,11,11
771,RAASA MANDHIRI,6,6
772,RAAZ REBOOT,7,15
773,RACE,7,7
774,RADHA,7,7
775,RAEES,30,61
776,RAILROAD TIGERS,6,6
777,RAJA THE GREAT,6,12
778,RAJAMMA AT YAHOO,4,4
779,RAJATHANDHIRAM,51,76
780,RAJINI MURUGAN,36,67
781,RAKSHADHIKARI BAIJU OPPU,7,7
782,RAMALEELA,19,39
783,RAMAN RAGHAV 2 0,13,15
